TEMPLATE_ID,SUBJECT_ID,FILENAME,SIGHTING_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
949,12444,img/113904.jpg,66888,116,73,330,461
949,12444,img/114181.jpg,67939,109,30,143,178
949,12444,img/112568.jpg,66706,135,52,294,418
949,12444,img/113073.jpg,67838,130,61,302,430
949,12444,img/114098.jpg,66982,106,47,183,236
949,12444,img/113010.jpg,66388,524,23,190,272
949,12444,img/112456.jpg,66510,195,73,86,103
949,12444,img/113842.jpg,68084,25,45,151,173
949,12444,img/113371.jpg,68004,62,22,115,156
950,12445,img/112588.jpg,66461,560,223,94,91
951,12446,img/112558.jpg,67883,226,51,92,122
951,12446,img/112613.jpg,67679,173,78,85,106
951,12446,img/113834.jpg,67551,147,50,78,104
951,12446,img/113256.jpg,66497,179,96,82,108
951,12446,img/113314.jpg,66424,166,73,91,98
951,12446,img/112984.jpg,67689,165,83,95,103
951,12446,img/113237.jpg,67500,196,62,82,88
951,12446,img/113264.jpg,67665,182,76,74,93
951,12446,img/113345.jpg,66759,245,54,73,78
951,12446,img/112604.jpg,66602,192,88,76,85
952,12448,img/113672.jpg,67084,49,20,30,40
953,12449,img/112738.jpg,68130,1816,358,504,775
953,12449,img/113457.jpg,67490,436,204,557,715
955,12453,img/113847.jpg,66336,796,355,196,229
956,12454,img/113387.jpg,67946,218,103,62,86
956,12454,img/113365.jpg,66322,423,109,168,191
957,12455,img/113043.jpg,66933,1815,350,973,1134
957,12455,img/113248.jpg,67669,1673,147,657,773
957,12455,img/113592.jpg,68104,1407,1031,879,862
957,12455,img/114045.jpg,67303,831,286,783,1061
957,12455,img/113584.jpg,66682,1249,372,263,363
957,12455,img/113487.jpg,66805,1233,965,467,569
957,12455,img/113962.jpg,66501,1115,172,741,860
957,12455,img/114112.jpg,68023,135,58,128,142
958,12459,img/113988.jpg,67545,196,24,91,124
958,12459,img/112689.jpg,66390,123,78,97,157
959,12460,img/112500.jpg,66808,174,102,181,182
959,12460,img/113213.jpg,67715,268,101,83,100
959,12460,img/112801.jpg,66543,176,87,110,149
959,12460,img/113290.jpg,67138,267,83,111,125
959,12460,img/112654.jpg,66623,92,75,231,200
959,12460,img/113849.jpg,66380,287,92,73,110
959,12460,img/112669.jpg,66588,130,48,105,110
959,12460,img/112682.jpg,67777,830,98,328,391
959,12460,img/113840.jpg,67567,247,112,71,103
959,12460,img/114212.jpg,66845,73,61,112,130
960,12461,img/113254.jpg,68139,318,246,318,417
961,12462,img/113864.jpg,68081,354,27,57,77
962,12463,img/112852.jpg,66468,202,41,247,303
963,12465,img/112622.jpg,67164,96,106,99,125
963,12465,img/113541.jpg,67170,415,97,105,127
963,12465,img/114023.jpg,67202,2093,334,1311,1767
963,12465,img/113031.jpg,67961,404,284,404,511
963,12465,img/113583.jpg,67899,829,292,373,498
963,12465,img/112731.jpg,67854,98,116,178,235
963,12465,img/112953.jpg,68032,57,25,59,73
963,12465,img/114009.jpg,67793,361,154,239,288
963,12465,img/113025.jpg,67180,55,24,139,168
963,12465,img/113663.jpg,67302,501,5,271,335
964,12467,img/114229.jpg,67420,510,56,217,288
965,12469,img/113526.jpg,66523,68,23,69,91
965,12469,img/113227.jpg,67630,53,22,148,194
965,12469,img/114141.jpg,67207,80,51,166,205
965,12469,img/112679.jpg,67765,231,48,107,132
965,12469,img/112693.jpg,66527,101,26,178,263
965,12469,img/114142.jpg,66500,282,270,150,181
965,12469,img/113712.jpg,67378,307,161,108,105
965,12469,img/113887.jpg,67467,153,20,205,286
965,12469,img/112878.jpg,67212,47,20,146,188
965,12469,img/113504.jpg,66643,68,38,185,218
965,12469,img/112489.jpg,67386,299,112,179,247
965,12469,img/112610.jpg,67435,618,218,543,715
965,12469,img/113745.jpg,67982,90,26,40,46
965,12469,img/113748.jpg,68080,378,83,194,248
965,12469,img/113683.jpg,67761,337,173,126,171
965,12469,img/112749.jpg,67172,84,76,133,177
966,12470,img/113257.jpg,66329,360,272,102,135
967,12471,img/113485.jpg,66735,566,238,143,208
968,12472,img/113061.jpg,67618,842,193,117,169
968,12472,img/113778.jpg,67717,170,83,155,183
968,12472,img/113545.jpg,67641,414,137,306,411
968,12472,img/112862.jpg,67888,1058,489,668,807
968,12472,img/113531.jpg,68151,6,115,41,70
969,12474,img/112978.jpg,67801,421,328,191,275
969,12474,img/112611.jpg,66651,550,51,269,403
969,12474,img/112702.jpg,66657,96,76,49,65
969,12474,img/113292.jpg,66271,1267,998,602,811
970,12476,img/112900.jpg,66977,205,73,98,90
970,12476,img/112424.jpg,66514,177,31,87,117
972,12478,img/113110.jpg,66321,153,70,183,247
973,12479,img/112809.jpg,68068,227,127,111,151
973,12479,img/113600.jpg,67726,215,128,170,230
973,12479,img/113522.jpg,67516,226,145,64,82
974,12483,img/113771.jpg,67536,224,38,296,380
974,12483,img/112466.jpg,67398,1131,599,729,843
974,12483,img/112619.jpg,66810,131,15,203,253
974,12483,img/112690.jpg,67029,929,382,1726,2315
974,12483,img/113064.jpg,66268,605,370,462,632
974,12483,img/113860.jpg,67758,161,26,74,97
975,12485,img/113193.jpg,67969,439,377,917,1028
975,12485,img/113370.jpg,67011,1062,379,1591,2139
975,12485,img/113495.jpg,67343,545,74,132,166
