TEMPLATE_ID,SUBJECT_ID,FILENAME,SIGHTING_ID,FACE_X,FACE_Y,FACE_WIDTH,FACE_HEIGHT
1,1,img/116262.jpg,69544,268,32,40,47
1,1,img/4702.jpg,3720,93,84,76,100
1,1,img/2597.jpg,3,68,63,138,166
1,1,img/2416.jpg,1,32,25,119,149
1,1,img/5127.jpg,3726,159,36,56,75
1,1,img/116526.jpg,69607,2211,699,337,380
1,1,img/3905.jpg,3727,99,40,112,146
2,4,img/4781.jpg,7907,2694,785,552,681
2,4,img/3718.jpg,7915,1316,1095,319,395
2,4,img/55539.jpg,33727,604,160,268,323
2,4,img/192.jpg,7921,813,702,765,816
2,4,img/2921.jpg,37,473,290,123,168
2,4,img/2653.jpg,7912,3872,436,265,356
2,4,img/1344.jpg,27,71,33,139,169
2,4,img/1231.jpg,25,93,32,262,333
2,4,img/1333.jpg,7875,1730,518,257,288
2,4,img/55538.jpg,33726,397,989,305,390
2,4,img/55557.jpg,33729,321,222,222,288
2,4,img/55537.jpg,33725,327,140,217,224
2,4,img/55558.jpg,33730,1263,199,193,238
2,4,img/55536.jpg,33724,424,126,165,236
2,4,img/5164.jpg,7918,703,731,489,663
2,4,img/4566.jpg,7876,97,92,49,53
2,4,img/1800.jpg,7926,155,97,73,92
2,4,img/1226.jpg,7862,335,51,43,57
2,4,img/2313.jpg,7908,714,996,696,758
2,4,img/55535.jpg,33723,664,196,124,155
2,4,img/55631.jpg,33734,1338,1617,354,401
3,5,img/980.jpg,6174,217,30,165,230
3,5,img/4630.jpg,6168,586,16,294,341
3,5,img/4851.png,6179,1377,544,166,205
3,5,img/1723.jpg,6157,235,107,148,190
3,5,img/4591.jpg,6144,213,104,86,110
3,5,img/4401.jpg,42,321,69,85,95
3,5,img/2630.jpg,6193,151,187,72,99
3,5,img/4080.jpg,48,128,68,55,70
3,5,img/1654.jpg,6146,22,17,108,134
3,5,img/4673.jpg,6139,90,130,68,82
3,5,img/989.jpg,6172,101,2,97,126
